,0,1
131,hfm=1.5_bcm=18.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,272
98,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,273
129,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,273
69,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,273
95,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=1.0_pft=0.8_kde=25.0_characters.txt,274
119,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,274
157,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,274
128,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=1.0_pft=0.5_kde=25.0_characters.txt,274
70,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,275
65,hfm=1.5_bcm=12.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,275
99,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,275
160,hfm=1.5_bcm=12.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,275
31,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.75_clem=1.0_pft=0.5_kde=25.0_characters.txt,275
125,hfm=1.5_bcm=12.0_bksm=0.45_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,275
156,hfm=1.5_bcm=18.0_bksm=0.2_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,276
72,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=1.0_pft=0.8_kde=25.0_characters.txt,276
145,hfm=1.5_bcm=12.0_bksm=0.45_lscm=1.0_clem=1.0_pft=0.8_kde=25.0_characters.txt,276
100,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,276
132,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,277
91,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=2.25_pft=0.5_kde=25.0_characters.txt,277
209,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.75_clem=1.0_pft=0.8_kde=25.0_characters.txt,277
108,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,277
151,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=2.25_pft=0.8_kde=25.0_characters.txt,278
181,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=2.25_pft=0.3_kde=25.0_characters.txt,278
76,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,278
237,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,278
220,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,280
116,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,280
43,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,280
197,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=2.25_pft=0.5_kde=25.0_characters.txt,280
16,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=2.25_pft=0.8_kde=25.0_characters.txt,280
140,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,280
83,hfm=1.5_bcm=12.0_bksm=0.2_lscm=1.0_clem=1.5_pft=0.8_kde=25.0_characters.txt,280
163,hfm=1.5_bcm=18.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.3_kde=25.0_characters.txt,281
192,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,281
165,hfm=1.5_bcm=12.0_bksm=0.45_lscm=1.0_clem=2.25_pft=0.8_kde=25.0_characters.txt,281
